1.46	6.954e-6
2.24	6.927e-6
3.05	6.898e-6
3.89	6.863e-6
4.77	6.828e-6
5.68	6.798e-6
6.64	6.770e-6
7.63	6.741e-6
8.67	6.704e-6
9.75	6.676e-6
10.88	6.642e-6
12.05	6.610e-6
13.27	6.575e-6
14.54	6.537e-6
15.88	6.500e-6
17.27	6.463e-6
18.70	6.423e-6
20.21	6.385e-6
21.78	6.349e-6
23.42	6.304e-6
25.12	6.268e-6
26.89	6.223e-6
28.73	6.187e-6
30.65	6.145e-6
32.65	6.108e-6
34.75	6.064e-6
36.95	6.020e-6
39.24	5.985e-6
41.60	5.946e-6
44.09	5.906e-6
46.68	5.867e-6
49.36	5.831e-6
52.15	5.789e-6
55.07	5.751e-6
58.10	5.712e-6
61.28	5.672e-6
64.55	5.636e-6
68.02	5.594e-6
71.58	5.556e-6
75.34	5.513e-6
79.24	5.474e-6
83.30	5.424e-6
87.54	5.385e-6
91.92	5.338e-6
96.51	5.297e-6
101.32	5.250e-6
106.30	5.205e-6
111.42	5.150e-6
116.85	5.097e-6
122.57	5.041e-6
128.46	4.984e-6
134.60	4.927e-6
141.05	4.867e-6
147.65	4.800e-6
154.67	4.728e-6
161.85	4.659e-6
169.46	4.581e-6
177.37	4.503e-6
185.59	4.424e-6
194.09	4.330e-6
203.02	4.242e-6
212.24	4.149e-6
222.05	4.045e-6
232.00	3.945e-6
242.53	3.839e-6
253.53	3.729e-6
264.94	3.613e-6
276.78	3.493e-6
289.20	3.374e-6
302.07	3.247e-6
315.73	3.120e-6
329.40	2.993e-6
344.06	2.859e-6
359.69	2.724e-6
375.31	2.590e-6
391.91	2.454e-6
409.50	2.321e-6
427.16	2.187e-6
446.18	2.050e-6
465.71	1.914e-6
486.22	1.780e-6
507.20	1.654e-6
529.65	1.522e-6
552.60	1.404e-6
576.50	1.280e-6
601.40	1.162e-6
627.81	1.041e-6
655.13	9.344e-7
683.42	8.295e-7
712.70	7.232e-7
743.93	6.186e-7
775.62	5.209e-7
809.27	4.239e-7
844.46	3.315e-7
880.53	2.446e-7
918.52	1.594e-7
957.98	7.669e-8
998.98	0.000e0
