,component 1,component 2
Bh,2.683518922,1.595556514
Bh.sd,0.023651937,0.079310005
DP,0.333960097,0.538991526
DP.sd,0.008314309,0.034539079
P,0.963818854,0.228883512
P.sd,0.027335624,0.016090799
S,1.149991941,0.665308239
S.sd,0.050702687,0.074048256
TC.mean,0.690856294,0.309143706
TC.sd,0.090955647,0.09693332
