component,log.Bh_mean,Dp_mean
pedogenic and extracellular magnetite ,1.34,0.343
detrital magnetite ,1.457,0.358
low-coercivity magnetofossils,1.642,0.188
high-coercivity magnetofossils,1.854,0.148
hematite,2.3,0.27
goethite,3.3,0.25
